"Frase","Data","Local","Cidade","AtaqueInstituicoes","AtaqueLaicidade","AtaqueMidia","Remover"
"como é que vai ter voto? Quem vai contar esses votos? Quem garante que tem gente que entende de informática aqui, que nós estamos tranquilos na questão eleitoral?",2022-06-14,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Nós temos um governo hoje em dia que acredita em Deus",2022-06-14,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"qual interferência fizeram em cima do decreto da PF de Novembro ? Começou a apurar o que seria a fraude das eleições daquele ano e que não fechou ainda esse inquérito?",2022-06-14,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"a Presidência é uma missão, uma missão de Deus",2022-06-11,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"afirmamos que temos um governo que acredita em Deus",2022-06-10,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Eu, hoje tenho orgulho de dizer que tenho um governo que acredita em Deus",2022-06-08,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Deus, Pátria, Família e Liberdade",2022-06-08,"","","Ordem","Ordem","Nenhuma","Remover"
"fecha a imprensa brasileira, que é uma fábrica de fake news. Em especial, O Globo, Folha.",2022-06-07,"","","Nenhuma","Nenhuma","Ordem","Remover"
"Que Brasil é esse? Que justiça é essa",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Comissão de Transparência Eleitoral? As Forças Armadas descobrem centenas de vulnerabilidades",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Eleição é coisa para forças desarmadas Eu sou o chefe das Forças Armadas. Nós não vamos fazer o papel de idiotas. Eu tenho a obrigação de agir",2022-06-07,"","","Ordem","Nenhuma","Nenhuma","Remover"
"Eleição é coisa para forças Será que separação dos poderes do Supremo Tribunal Federal, que podem muito, pode continuar achando que podem tudo? Eu não vou viver como um rato. Tem que haver uma reaçãoEu sou o chefe das Forças Armadas. Nós não vamos fazer o papel de idiotas. Eu tenho a obrigação de agir",2022-06-07,"","","Ordem","Nenhuma","Nenhuma","Remover"
"Tenho a família toda perseguida, até a esposa processada. Canalhas.",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Nós confiamos nas máquinas, e eu confio nas máquinas. Não confio em quem está atrás das máquinas",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"os hackers ficaram por oito meses dentro do TSE",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Será que o Datafolha está perfeitamente alinhado com o que está previsto no resultado do TSE? Nós não podemos viver sob suspeição",2022-06-07,"","","Nenhuma","Nenhuma","Recomendação e Sugestão","Remover"
"Qual a isenção que tem esse ministro para conduzir as eleições? Qual terá Alexandre de Moraes para, liberdade individual  0 dias, assumir aquele posto? O que podemos pensar que essas pessoas… o que eles querem? Querem uma ruptura? Por que atacam a democracia o tempo todo?",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"se as urnas são inexpugnáveis, por que temos o hacker preso há quase um ano em Minas Gerais? São inexpugnáveis. O que se espera de um país que age dessa maneira?",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Eu não estou dizendo que há fraude, mas há suspeita. Temos que dissipar essa nuvem da suspeição. Não podemos viver dessa maneira",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"O que eu faço se aprovar o marco temporal? Tenho duas opções: entrego a chave para o ministro supremo ou digo ""não vou cumprir""",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Eu fui do tempo em que decisão do Supremo não se discute, se cumpre. Eu fui desse tempo, não sou mais",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"É inacreditável o que fazem. Querem prejudicar a mim e prejudicam o Brasil.",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"outro indicado por esse que está fazendo a miséria do TSE",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Eu sou do tempo em que, eleições, ganhava quem tinha o voto nas urnas. Agora, parece que é quem tem amigo no TSE",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Não interessa se conheça ou não de tecnologia. E como é feito? Ninguém sabe. Pode ser que seja feito corretamente? Pode, mas não podemos ter a suspeição",2022-06-07,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Não podemos terminar umas eleições onde um lado não vai se satisfazer com o resultado",2022-06-07,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-06-03,"","","Nenhuma","Ordem","Nenhuma","Remover"
"O Brasil é de Deus",2022-05-31,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Hoje podemos dizer que temos um Presidente da República e um governo, que acima de tudo, acredita em Deus",2022-05-31,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"nosso Deus acima de todos",2022-05-31,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Nós sabemos quem é o criador. Nós sabemos para onde iremos e o que devemos fazer para termos a vida eterna",2022-05-28,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Temos um só Deus, um só Senhor",2022-05-28,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Temos um Senhor que é um Senhor de todos nós e, como dito aqui, somente com Ele atingiremos o nosso objetivo",2022-05-28,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Brasil acima de tudo. Deus acima de todos",2022-05-28,"","","Nenhuma","Ordem","Nenhuma","Remover"
"somos exatamente iguais, somos filhos de Deus",2022-05-27,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"é dessa forma que nós governamos com a força de Deus",2022-05-27,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"quando falo em soberania; quando acabei a reunião com o presidente Putin, fomos conversar com a imprensa e ele falou antes: aqui eu falo com a imprensa e não tem pergunta. Estou na sua casa, parabéns",2022-05-27,"","","Nenhuma","Nenhuma","Recomendação e Sugestão","Remover"
"Brasil acima de tudo, Deus acima de todos.",2022-05-26,"","","Nenhuma","Ordem","Nenhuma","Remover"
"A certeza de termos um Brasil onde seu governo acredita em Deus",2022-05-26,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Somos um país iminentemente cristão, os nossos valores devem ser preservados a qualquer custo",2022-05-26,"","","Nenhuma","Ordem","Nenhuma","Remover"
" tendo Deus ao nosso lado [...] nós seremos uma grande nação",2022-05-26,"","","Nenhuma","Recomendação e Sugestão","Nenhuma","Remover"
"nós estamos aqui, porque acreditamos em Deus",2022-05-26,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Temos hoje, um Presidente, um governo, que acredita em Deus",2022-05-21,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"louvando a Ele, o responsável por nos ter colocado aqui",2022-05-21,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"é uma missão que eu tenho, e só Deus me tira daquela cadeira",2022-05-21,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Nada fazemos sem Ele, Ele está no meio de nós",2022-05-21,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"respeito e de louvor ao nosso Deus",2022-05-21,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"nós temos um governo que acredita em Deus",2022-05-11,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"nós temos hoje um Governo que acredita em Deus",2022-05-17,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Deus, Pátria, família, liberdade",2022-05-17,"","","Ordem","Ordem","Nenhuma","Remover"
"O TSE convida as Forças Armadas a participar do processo. As Forças Armadas levantam mais de 600 vulnerabilidades",2022-05-16,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Deus me deu essa missão, eu vou ter que cumpri-la. E sempre falo: só Ele me tira de lá",2022-05-16,"","","Pedido e Afirmação","Pedido e Afirmação","Nenhuma","Remover"
"É um milagre a minha eleição. Mesmo com hackers ficando oito meses lá dentro,",2022-05-16,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"temos um presidente e um governo que acredita em Deus",2022-05-07,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-05-07,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-05-05,"","","Nenhuma","Ordem","Nenhuma","Remover"
"de lá para cá tivemos mais 6 anos de PT e nada foi feito, eles não desviaram água para o nordeste, desviaram é dinheiro para o próprio bolso.",2022-05-17,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"vocês acham que vem alguma coisa boa de um parlamentar do PC do B? Ou do PSOL, ou do PT?",2022-05-12,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"nós temos mais que um Presidente, um governo e alguns de outros poderes, como um aqui, o presidente da Câmara, que acredita em Deus,",2022-04-30,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-30,"","","Nenhuma","Ordem","Nenhuma","Remover"
"cada vez mais, Deus, Pátria, Família, povo e liberdade",2022-04-28,"","","Ordem","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-28,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-28,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Não poderia ter eleições sem a conclusão daquele inquérito",2022-04-27,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Que legalidade? Que segurança ele pode dizer com que segurança aconteceram aquelas eleições?",2022-04-27,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"o PSDB contratou uma auditoria internacional. Qual a conclusão da auditoria? A urna é inauditável, pronto",2022-04-27,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Quase 100 militares participaram desse processo, pode um deles vazar esse relatório? Pode. Por que não pode? Eu não acredito, mas pode. Agora, se vazar, vai comprometer as eleições? Se vai comprometer, é sinal que as urnas não são inexpugnáveis",2022-04-27,"","","Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Isso é interferência. Agora, você não pode falar nada sobre eles, eles estão comandando o Brasil, não são todos, obviamente, do STF, mas alguns lá, mandando no Brasil e desmontando",2022-04-27,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"quando se encerram as eleições, e os dados vêm pela internet para cá, e tem um cabo no final que alimenta a sala secreta do Tribunal Superior Eleitoral. Dá para acreditar nisso? Uma sala secreta onde meia dúzia de técnicos dizem, ali no final: ""olha, quem ganhou foi esse"".",2022-04-27,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Deus, Pátria, família e liberdade",2022-04-26,"","","Ordem","Ordem","Nenhuma","Remover"
"Creio que Deus deu uma missão para cada um de nós",2022-04-26,"","","Nenhuma","Recomendação e Sugestão","Nenhuma","Remover"
"Deus, Pátria, família",2022-04-26,"","","Ordem","Ordem","Nenhuma","Remover"
"Presidente da República, já que aconteceu, entendo que é uma missão de Deus, e a Ele eu agradeço a minha vida e essa missão, e reforçar aqui: Só Deus me tira daquela cadeira.",2022-04-25,"","","Ordem","Ordem","Nenhuma","Remover"
"coisa rara a imprensa publicar boa notícia,",2022-04-25,"","","Nenhuma","Nenhuma","Pedido e Afirmação","Remover"
"E vocês sabem também que dentro do Supremo Tribunal Federal, tem uma ação que está sendo levada avante pelo ministro Fachin (Luiz Edson Fachin) [...] entregar as chaves para o Supremo ou falar que não vou cumprir, eu não tenho alternativa",2022-04-25,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"oi votado no Parlamento, na Câmara, esses dias, a urgência do PL do fake news, atendendo Barroso ( Luís Roberto Barroso), atendendo o Fachin e atendendo o Alexandre de Moraes. Então esses caras que votaram sim, a urgência, estão do lado daqueles que querem censurar as mídias sociais",2022-04-25,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-22,"","","Nenhuma","Ordem","Nenhuma","Remover"
"as nossas bandeiras, Deus, Pátria, Família",2022-04-20,"","","Ordem","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-20,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-14,"","","Nenhuma","Ordem","Nenhuma","Remover"
"é um governo que conta apenas com a comunicação das mídias sociais, essas que tentaram censurá-las, há poucos dias, com o malfadado projeto de lei das fake news.",2022-04-12,"","","Nenhuma","Nenhuma","Recomendação e Sugestão","Remover"
"é um governo que conta apenas Com Deus e o povo, nós, cada vez mais, transformaremos o nosso paísa comunicação das mídias sociais, essas que tentaram censurá-las, há poucos dias, com o malfadado projeto de lei das fake news.",2022-04-08,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"O orgulho de ser politico e estar à frente do Executivo Federal, é uma missão de Deus",2022-04-08,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Permita-me discordar, lixo é reciclável. Essa porcaria dessa globo não serve para nada",2022-04-08,"","","Nenhuma","Nenhuma","Pedido e Afirmação","Remover"
"Brasil acima de tudo, Deus acima de todos.",2022-04-08,"","","Nenhuma","Ordem","Nenhuma","Remover"
"com Deus e o povo, nós mudaremos o destino do nosso Brasil",2022-04-08,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-04-08,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Deus, Pátria, Família",2022-04-07,"","","Ordem","Ordem","Nenhuma","Remover"
"A gente lamenta, por parte da nossa imprensa, ataques descomunais",2022-04-05,"","","Nenhuma","Nenhuma","Pedido e Afirmação","Remover"
"Um governo que acredita em Deus",2022-04-04,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Se não fosse Ele, o nosso Deus, como resistiríamos a tantas adversidades com grande parte da imprensa contra nós?",2022-04-04,"","","Nenhuma","Recomendação e Sugestão","Recomendação e Sugestão","Remover"
"é um governo que ajuda, colabora e teme ao seu Deu",2022-04-04,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"tenham a certeza que esse país é de Deus",2022-04-04,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"O bem está na consciência, na formação da grande maioria do povo brasileiro, e essa minoria que ousa querer desvirtuar a nossa formação, as nossas tradições e a nossa religião vai ter que esperar no mínimo 500 anos para atingir o seu objetivo",2022-03-30,"","","Ordem","Nenhuma","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-03-30,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Um governo que acredita em Deus",2022-03-31,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Um ministro que não tem o que fazer, deve ser um desocupado, fica o tempo todo me processando. Alguém que nunca fez nada de útil para a sociedade, de repente processo todo dia, o deputado, o presidente, o deputado também o que ele quer com isso? O que que ajuda o Brasil?",2022-03-31,"","","Pedido e Afirmação","Nenhuma","Nenhuma","Remover"
"Deus, Pátria, família",2022-03-31,"","","Ordem","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-03-30,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Entendo que é uma missão de Deus ser Presidente da República",2022-03-29,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-03-23,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Deus acima de todos",2022-03-23,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Graças a Deus, teve a mão de Deus",2022-03-17,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"vamos combater quem tá nas bancas de jornais por aí",2022-03-17,"","","Nenhuma","Nenhuma","Pedido e Afirmação","Remover"
"e do orgulho da missão dada por Deus de estar à frente do Poder Executivo Federal.",2022-03-22,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-03-22,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Deus, Pátria, família e Liberdade",2022-03-22,"","","Ordem","Ordem","Nenhuma","Remover"
"O momento de hoje aqui é de glorificar o nosso Deus",2022-06-18,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-06-18,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-03-04,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Deus sempre estará acima de todos nós",2022-03-03,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-03-03,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Deus, Pátria, família e liberdade.",2022-02-09,"","","Ordem","Ordem","Nenhuma","Remover"
"o mundo é a nossa casa e Deus está acima de todos nós",2022-02-16,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Um governo que acredita em Deus",2022-02-16,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-02-24,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Tememos e amamos a Deus",2022-02-09,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"nosso Deus sempre acima de tudo",2022-02-09,"","","Nenhuma","Ordem","Nenhuma","Remover"
"Quis o destino que eu me elegesse Presidente da República, entendo eu, ser esta uma missão de Deus",2022-02-08,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Um orgulho muito grande de ter essa missão dada por Deus, de comandar os destinos no Executivo do nosso Brasil",2022-02-08,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"É um governo que fala, com orgulho, que acredita em Deus",2022-01-14,"","","Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"No mais, eu só tenho agradecer a Deus pela missão, de estar à frente do Executivo Federal do nosso país. Em dizer a vocês, Ele me botou lá e somente Ele me tira de lá.",2022-01-14,"","","Ordem","Ordem","Nenhuma","Remover"
"Deus, Pátria, família",2022-01-14,"","","Ordem","Ordem","Nenhuma","Remover"
"ver que realmente as nossas tradiçoes judaico_cristas são cada vez mais preservadas e reavivadas em obras tambem do nosso governo",2022-06-28,NA,NA,"Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"diz que nos somos cristaos um pais majoritariamente cristao",2022-06-28,NA,NA,"Nenhuma","Recomendação e Sugestão","Nenhuma","Remover"
"a familia e a base da sociedade e a sua espiritualidade cada vez mais se reforça quando frequentamos os nossos templos as nossas igrejas atras de Deus O verdadeiro responsavel pela salvação das nossas almas",2022-06-28,NA,NA,"Nenhuma","Ordem","Nenhuma","Remover"
"tem um presidente que defende a familia prevista em nossa Constituição e em nossa biblia sagrada",2022-06-28,NA,NA,"Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
"Brasil acima de tudo, Deus acima de todos",2022-06-28,NA,NA,"Nenhuma","Ordem","Nenhuma","Remover"
"É fácil lidar com Supremo? Não é fácil. Mandei fazer um levantamento agora sobre ações contra o Governo. Em separação dos poderes anos de governo, eu tenho do que o dobro de ações de FHC, Lula, Dilma e Temer. É perseguição ou não é? É perseguição",2022-06-15,NA,NA,"Recomendação e Sugestão","Nenhuma","Nenhuma","Remover"
"Vivemos num país cristão, um país que é temente a Deus, de um povo gentil, ordeiro e trabalhador.",2022-06-25,NA,NA,"Nenhuma","Pedido e Afirmação","Nenhuma","Remover"
